country,gwno
United States of America,2
Haiti,41
Mexico,70
Guatemala,90
Honduras,91
El Salvador,92
Nicaragua,93
Colombia,100
Venezuela,101
Ecuador,130
Peru,135
Argentina,160
United Kingdom,200
Ireland,205
Spain,230
Portugal,235
Macedonia (Former Yugoslav Republic of),343
Croatia,344
Yugoslavia,345
Bosnia-Herzegovina,346
Kosovo,347
Slovenia,349
Greece,350
Moldova,359
Russia (Soviet Union),365
Ukraine,369
Armenia,371
Georgia,372
Azerbaijan,373
Guinea-Bissau,404
Mali,432
Senegal,433
Niger,436
Cote D__voire,437
Guinea,438
Liberia,450
Sierra Leone,451
Togo,461
Cameroon,471
Nigeria,475
Gabon,481
Central African Republic,482
Chad,483
Congo,484
"Congo, Democratic Republic of (Zaire)",490
Uganda,500
Kenya,501
Burundi,516
Rwanda,517
Somalia,520
Djibouti,522
Ethiopia,530
Eritrea,531
Angola,540
Mozambique,541
Zimbabwe (Rhodesia),552
South Africa,560
Namibia,565
Lesotho,570
Madagascar,580
Comoros,581
Morocco,600
Algeria,615
Tunisia,616
Libya,620
Sudan,625
South Sudan,626
Iraq,645
Syria,652
Lebanon,660
Jordan,663
Israel,666
Saudi Arabia,670
Yemen (Arab Republic of Yemen),678
Kuwait,690
Bahrain,692
Afghanistan,700
Tajikistan,702
China,710
"Korea, People's Republic of",731
"Korea, Republic of",732
India,750
Pakistan,770
Bangladesh,771
Myanmar (Burma),775
Sri Lanka (Ceylon),780
Nepal,790
Thailand,800
Cambodia (Kampuchea),811
Philippines,840
Indonesia,850
Papua New Guinea,910
Solomon Islands,940
